,cpt_id,is_official,period_start,period_end,name,name_eng,keyword,keyword_eng,participants,max_team_member,max_file_per_day,prize,prize_info,merge_deadline,winner_show
0,136,1,2018-08-14 0:00,2018-09-13 23:59,대출 상점 총 매출 예측 경진대회,Shop Total Sales Forecast,"금융 | 소상공인 신용카드 가맹점 빅데이터와 AI로 매출 예측 |  시계열, 회귀 | RMSE","[Finance] Small Business Credit Card Merchant Sales Forecast with Big Data and AI-Time Series, Regression, RMSE",303,5,5,850,"$8,500 + 100,000ZPR",2018-09-13 23:59,3
1,9565,1,2018-09-15 0:00,2018-10-13 23:59,병원 개/폐업 분류 예측 경진대회,hospital opening / closing classification prediction,금융 | 병원 재무 데이터와 AI로 개업|폐업 예측 분석 |  분류 | Accuracy,"[Financial] Hospital financial data and opening of business with AI predictive analysis-Classification, Accuracy",448,10,3,350,"$3,500 + 40,000ZPR",2018-10-13 23:59,3
2,17801,1,2018-10-18 0:00,2018-12-31 23:59,아파트 경매가격 예측 경진대회,Apartment Auction Price Forecast,금융 | 부동산 아파트 경매 빅데이터와 AI로 경매가 예측 분석 |  회귀 | RMSE,"[Finance] Real Estate Apartment Auction Big Data and AI Forecast Predictive Analysis-Regression, RMSE",316,10,3,1000,"$10,000 + 120,000ZPR",2018-12-31 23:59,3
3,21265,1,2018-11-13 0:00,2019-01-31 23:59,아파트 실거래가 예측,apartment real price forecast,금융 | 부동산 빅데이터와 AI를 이용하여 실거래가를 예측 분석 | 회귀 | RMSE,"[Finance] Predictive analysis of real transaction price using real-time big data and AI-Regression, RMSE",568,10,3,800,"$8,000 + 80,000ZPR",2019-01-31 23:59,3
4,42473,1,2018-12-25 0:00,2019-01-10 23:59,신용카드 거래 데이터 시각화,credit card transaction data visualization,"금융 | 신용카드, 시계열, 시각화 | Python, R, Tableau, Spotfire. Power BI | 심사평가","[Finance] Credit cards, time series, visualization",252,5,3,100,"$1,000 + 100,000ZPR",2019-01-10 23:59,3
5,62540,1,2019-02-08 0:00,2019-07-18 23:59,KBO 타자 OPS 예측 경진대회,KBO batter OPS modeling,"스포츠 | KBO 타자 빅데이터와 AI로 OPS 예측 | 시계열, 회귀 | RMSE, Chrono 평가","[Sports] KBO hitter big data and AI predict OPS-time series, regression, RMSE, Chrono evaluation",341,5,3,800, 800만원,2019-07-18 23:59,3
6,68346,1,2019-03-26 0:00,2019-05-20 23:59,KBO 외국인 투수 스카우팅 최적화 경진대회,KBO foreign pitcher scouting optimization,"스포츠 |  MLB 데이터와 AI를 이용 투수 스카우트 분석 | KBO, 회귀 | RMSE","[Sports] Pitcher Scout Analysis using MLB data and AI-Sports, KBO, Regression, RMSE",98,1,3,200, 200만원,2019-05-20 23:59,3
7,82407,1,2019-05-06 0:00,2019-07-08 23:59,KCB 금융스타일 시각화 경진대회,KCB Financial Style Visualization Contest,"금융 | 구인 | 개인 신용카드 빅데이터 AI 분석 시각화 | Python, R, Tableau, PowerBI, Spotfire 제출 평가","Finance | Job offer | Analysis visualization with personal credit card big data and AI | Python, R, Tableau, PowerBI, Spotfire visualization submission evaluation",269,5,3,1000," 1,000만원",2019-07-08 23:59,3
8,140472,1,2019-07-11 0:00,2019-10-21 23:59,상점 신용카드 매출 예측 경진대회,Store Credit Card Sales Forecast Contest,"금융 | 구인 | 소상공인 가맹점 신용카드 빅데이터와 AI로 매출 예측 분석 | 시계열, 회귀 | MAE","[Finance, Job Offers] Small business merchant credit card big data and AI sales forecast analysis-time series, regression, MAE",624,5,100,200, 200만원,2020-10-28 23:59,3
9,196878,1,2019-10-01 0:00,2019-10-27 23:59,전력 수요량 예측 경진대회,Electric Power Demand Forecast Contest,"공공 | 전력 기상 빅데이터와 AI로 수요량 분석 | 시계열, 회귀 | SMAPE","[Public] Analyzing demand by power weather big data and AI-time series, regression, SMAPE",478,4,3,600, 600만원,2019-10-27 23:59,3
